지역,날짜,총인구수 (명),남자인구수 (명),여자인구수 (명)
강원,2012. 04,1537096,773835,763261
충북,2012. 04,1565389,789237,776152
충남,2012. 04,2110896,1068221,1042675
전북,2012. 04,1873333,933695,939638
전남,2012. 04,1910533,954881,955652
경북,2012. 04,2694944,1353626,1341318
경남,2012. 04,3309325,1665176,1644149
제주,2012. 04,578437,289409,289028
전국,2012. 05,50819380,25445721,25373659
서울,2012. 05,10237054,5065291,5171763
부산,2012. 05,3543688,1758013,1785675
대구,2012. 05,2507022,1250583,1256439
인천,2012. 05,2818348,1419119,1399229
광주,2012. 05,1466464,727060,739404
대전,2012. 05,1521659,762228,759431
울산,2012. 05,1140673,586803,553870
세종,2012. 05,-,-,-
경기,2012. 05,11998173,6045184,5952989
강원,2012. 05,1537673,774212,763461
충북,2012. 05,1566183,789629,776554
충남,2012. 05,2112849,1069277,1043572
전북,2012. 05,1873141,933565,939576
전남,2012. 05,1910689,954893,955796
경북,2012. 05,2694930,1353648,1341282
경남,2012. 05,3311574,1666383,1645191
제주,2012. 05,579260,289833,289427
전국,2012. 06,50832898,25452027,25380871
서울,2012. 06,10232281,5062494,5169787
부산,2012. 06,3542239,1757050,1785189
대구,2012. 06,2506977,1250491,1256486
인천,2012. 06,2820994,1420391,1400603
광주,2012. 06,1466388,727057,739331
대전,2012. 06,1522595,762685,759910
울산,2012. 06,1140954,587128,553826
세종,2012. 06,-,-,-
경기,2012. 06,12009150,6050717,5958433
강원,2012. 06,1537750,774162,763588
충북,2012. 06,1566992,790061,776931
충남,2012. 06,2114599,1070155,1044444
전북,2012. 06,1873093,933572,939521
전남,2012. 06,1910707,954909,955798
경북,2012. 06,2695113,1353724,1341389
경남,2012. 06,3313207,1667237,1645970
제주,2012. 06,579859,290194,289665
전국,2012. 07,50851082,25460414,25390668
서울,2012. 07,10227761,5059710,5168051
부산,2012. 07,3542218,1756971,1785247
대구,2012. 07,2506969,1250452,1256517
인천,2012. 07,2824150,1421784,1402366
광주,2012. 07,1467030,727255,739775
대전,2012. 07,1522581,762642,759939
울산,2012. 07,1141483,587424,554059
세종,2012. 07,103127,52624,50503
경기,2012. 07,12021422,6057142,5964280
강원,2012. 07,1538198,774287,763911
충북,2012. 07,1561493,787157,774336
충남,2012. 07,2021776,1022956,998820
전북,2012. 07,1872830,933365,939465
전남,2012. 07,1910298,954667,955631
경북,2012. 07,2695263,1353639,1341624
경남,2012. 07,3313689,1667629,1646060
제주,2012. 07,580794,290710,290084
전국,2012. 08,50871606,25469682,25401924
서울,2012. 08,10223243,5057182,5166061
부산,2012. 08,3541431,1756404,1785027
대구,2012. 08,2507715,1250650,1257065
인천,2012. 08,2828342,1423909,1404433
광주,2012. 08,1467979,727763,740216
대전,2012. 08,1522189,762435,759754
울산,2012. 08,1142528,587910,554618
세종,2012. 08,106625,54338,52287
경기,2012. 08,12035714,6064456,5971258
강원,2012. 08,1538136,774161,763975
충북,2012. 08,1562289,787550,774739
충남,2012. 08,2022434,1023386,999048
전북,2012. 08,1872957,933352,939605
전남,2012. 08,1909493,954234,955259
경북,2012. 08,2695008,1353243,1341765
경남,2012. 08,3314183,1667738,1646445
제주,2012. 08,581340,290971,290369
전국,2012. 09,50891223,25478622,25412601
서울,2012. 09,10219334,5054851,5164483
부산,2012. 09,3540802,1756003,1784799
대구,2012. 09,2507791,1250552,1257239
인천,2012. 09,2831729,1425557,1406172
광주,2012. 09,1468777,728097,740680
대전,2012. 09,1522880,762885,759995
울산,2012. 09,1143464,588361,555103
세종,2012. 09,108027,55022,53005
경기,2012. 09,12047601,6070096,5977505
강원,2012. 09,1538934,774550,764384
충북,2012. 09,1563323,788058,775265
충남,2012. 09,2023534,1024045,999489
전북,2012. 09,1873134,933400,939734
전남,2012. 09,1909212,954104,955108
경북,2012. 09,2695316,1353486,1341830
경남,2012. 09,3315343,1668268,1647075
제주,2012. 09,582022,291287,290735
전국,2012. 10,50912264,25488080,25424184
서울,2012. 10,10212445,5050639,5161806
부산,2012. 10,3540098,1755498,1784600
대구,2012. 10,2507571,1250263,1257308
인천,2012. 10,2836080,1427719,1408361
광주,2012. 10,1469614,728516,741098
대전,2012. 10,1523647,763214,760433
울산,2012. 10,1145096,589212,555884
세종,2012. 10,109823,55913,53910
경기,2012. 10,12060335,6076566,5983769
강원,2012. 10,1538869,774412,764457
충북,2012. 10,1564665,788785,775880
충남,2012. 10,2025274,1024888,1000386
전북,2012. 10,1873353,933374,939979
전남,2012. 10,1908998,954015,954983
경북,2012. 10,2696180,1354012,1342168
경남,2012. 10,3317523,1669395,1648128
제주,2012. 10,582693,291659,291034
전국,2012. 11,50930805,25496262,25434543
서울,2012. 11,10205843,5047103,5158740
부산,2012. 11,3539273,1755039,1784234
대구,2012. 11,2507910,1250472,1257438
인천,2012. 11,2840308,1429856,1410452
광주,2012. 11,1470669,729100,741569
대전,2012. 11,1524566,763776,760790
울산,2012. 11,1146555,590055,556500
세종,2012. 11,111191,56596,54595
경기,2012. 11,12071878,6080869,5991009
강원,2012. 11,1539116,774578,764538
충북,2012. 11,1565188,789028,776160
충남,2012. 11,2026849,1025776,1001073
전북,2012. 11,1873561,933418,940143
전남,2012. 11,1908834,953969,954865
경북,2012. 11,2697569,1354791,1342778
경남,2012. 11,3318202,1669863,1648339
제주,2012. 11,583293,291973,291320
전국,2012. 12,50948272,25504060,25444212
서울,2012. 12,10195318,5041336,5153982
부산,2012. 12,3538484,1754479,1784005
대구,2012. 12,2505644,1249320,1256324
인천,2012. 12,2843981,1431593,1412388
광주,2012. 12,1469216,728406,740810
대전,2012. 12,1524583,763671,760912
울산,2012. 12,1147256,590424,556832
세종,2012. 12,113117,57633,55484
경기,2012. 12,12093299,6091035,6002264
강원,2012. 12,1538630,774273,764357
충북,2012. 12,1565628,789286,776342
충남,2012. 12,2028777,1026812,1001965
전북,2012. 12,1873341,933386,939955
전남,2012. 12,1909618,954354,955264
경북,2012. 12,2698353,1355294,1343059
경남,2012. 12,3319314,1670545,1648769
제주,2012. 12,583713,292213,291500
전국,2013. 01,50965180,25511490,25453690
서울,2013. 01,10195064,5040263,5154801
부산,2013. 01,3538191,1754151,1784040
대구,2013. 01,2504945,1248869,1256076
인천,2013. 01,2846899,1432916,1413983
광주,2013. 01,1470061,728843,741218
대전,2013. 01,1525888,764201,761687
울산,2013. 01,1148130,590953,557177
세종,2013. 01,113911,58074,55837
경기,2013. 01,12107216,6097807,6009409
강원,2013. 01,1537704,773698,764006
충북,2013. 01,1565670,789329,776341
충남,2013. 01,2029769,1027427,1002342
전북,2013. 01,1872500,932953,939547
전남,2013. 01,1907945,953646,954299
경북,2013. 01,2698263,1355427,1342836
경남,2013. 01,3318979,1670527,1648452
제주,2013. 01,584045,292406,291639
전국,2013. 02,50991003,25523833,25467170
서울,2013. 02,10196434,5039921,5156513
부산,2013. 02,3539455,1754758,1784697
대구,2013. 02,2505040,1248840,1256200
인천,2013. 02,2850543,1434674,1415869
광주,2013. 02,1470969,729362,741607
대전,2013. 02,1527383,764912,762471
울산,2013. 02,1148713,591328,557385
세종,2013. 02,115269,58788,56481
경기,2013. 02,12123024,6105695,6017329
강원,2013. 02,1536718,773279,763439
충북,2013. 02,1565697,789423,776274
충남,2013. 02,2031839,1028533,1003306
전북,2013. 02,1872311,932775,939536
전남,2013. 02,1907027,953187,953840
경북,2013. 02,2696802,1354904,1341898
경남,2013. 02,3318548,1670391,1648157
제주,2013. 02,585231,293063,292168
전국,2013. 03,51003843,25529381,25474462
서울,2013. 03,10192057,5037288,5154769
부산,2013. 03,3538285,1753758,1784527
대구,2013. 03,2504623,1248307,1256316
인천,2013. 03,2853489,1436089,1417400
광주,2013. 03,1470979,729250,741729
대전,2013. 03,1527857,765095,762762
울산,2013. 03,1150215,592072,558143
세종,2013. 03,115955,59136,56819
경기,2013. 03,12133590,6111112,6022478
강원,2013. 03,1538219,774195,764024
충북,2013. 03,1565972,789515,776457
충남,2013. 03,2033019,1029334,1003685
전북,2013. 03,1871818,932551,939267
전남,2013. 03,1906887,953029,953858
경북,2013. 03,2696554,1354666,1341888
경남,2013. 03,3318175,1670416,1647759
제주,2013. 03,586149,293568,292581
전국,2013. 04,51018468,25535573,25482895
서울,2013. 04,10185955,5033615,5152340
부산,2013. 04,3537758,1753158,1784600
대구,2013. 04,2504888,1248182,1256706
인천,2013. 04,2856667,1437735,1418932
광주,2013. 04,1471324,729412,741912
대전,2013. 04,1528578,765375,763203
울산,2013. 04,1150708,592401,558307
세종,2013. 04,116345,59322,57023
경기,2013. 04,12144383,6116350,6028033
강원,2013. 04,1539169,774656,764513
충북,2013. 04,1566920,790054,776866
충남,2013. 04,2034946,1030529,1004417
전북,2013. 04,1871979,932581,939398
전남,2013. 04,1906477,952701,953776
경북,2013. 04,2696341,1354501,1341840
경남,2013. 04,3318877,1670878,1647999
제주,2013. 04,587153,294123,293030
전국,2013. 05,51034494,25542576,25491918
서울,2013. 05,10181807,5030777,5151030
부산,2013. 05,3536426,1752157,1784269
대구,2013. 05,2505083,1248184,1256899
인천,2013. 05,2859335,1439029,1420306
광주,2013. 05,1471801,729629,742172
대전,2013. 05,1529085,765683,763402
울산,2013. 05,1151340,592753,558587
세종,2013. 05,116842,59592,57250
경기,2013. 05,12156714,6122656,6034058
강원,2013. 05,1539403,774728,764675
충북,2013. 05,1567548,790381,777167
충남,2013. 05,2036661,1031473,1005188
전북,2013. 05,1871592,932389,939203
전남,2013. 05,1906335,952587,953748
경북,2013. 05,2696447,1354424,1342023
경남,2013. 05,3320074,1671631,1648443
제주,2013. 05,588001,294503,293498
전국,2013. 06,51047880,25548288,25499592
서울,2013. 06,10176560,5027540,5149020
부산,2013. 06,3534500,1751105,1783395
대구,2013. 06,2503728,1247423,1256305
인천,2013. 06,2861722,1440222,1421500
광주,2013. 06,1471867,729695,742172
대전,2013. 06,1529655,766027,763628
울산,2013. 06,1152039,593096,558943
세종,2013. 06,117012,59661,57351
경기,2013. 06,12167575,6127936,6039639
강원,2013. 06,1539767,774977,764790
충북,2013. 06,1568860,790998,777862
충남,2013. 06,2038322,1032365,1005957
전북,2013. 06,1871545,932383,939162
전남,2013. 06,1906575,952627,953948
경북,2013. 06,2696833,1354594,1342239
경남,2013. 06,3322702,1672886,1649816
제주,2013. 06,588618,294753,293865
전국,2013. 07,51064841,25555792,25509049
서울,2013. 07,10172002,5024805,5147197
부산,2013. 07,3532994,1750076,1782918
대구,2013. 07,2503604,1247377,1256227
인천,2013. 07,2864951,1441827,1423124
광주,2013. 07,1472357,729951,742406
대전,2013. 07,1530226,766341,763885
울산,2013. 07,1152765,593504,559261
세종,2013. 07,117369,59837,57532
경기,2013. 07,12181553,6134709,6046844
강원,2013. 07,1540014,775045,764969
충북,2013. 07,1569348,791357,777991
충남,2013. 07,2039668,1032957,1006711
전북,2013. 07,1871570,932396,939174
전남,2013. 07,1906028,952185,953843
경북,2013. 07,2696446,1354496,1341950
경남,2013. 07,3324324,1673629,1650695
제주,2013. 07,589622,295300,294322
전국,2013. 08,51081507,25562816,25518691
서울,2013. 08,10168997,5022491,5146506
부산,2013. 08,3531796,1749362,1782434
대구,2013. 08,2503400,1247193,1256207
인천,2013. 08,2867429,1442837,1424592
광주,2013. 08,1472807,730191,742616
대전,2013. 08,1530908,766628,764280
울산,2013. 08,1154208,594221,559987
세종,2013. 08,117939,60134,57805
경기,2013. 08,12193532,6140842,6052690
강원,2013. 08,1540264,775162,765102
충북,2013. 08,1569731,791502,778229
충남,2013. 08,2041263,1033946,1007317
전북,2013. 08,1871498,932366,939132
전남,2013. 08,1905442,951751,953691
경북,2013. 08,2696492,1354361,1342131
경남,2013. 08,3325351,1674101,1651250
제주,2013. 08,590450,295728,294722
전국,2013. 09,51098531,25570198,25528333
서울,2013. 09,10166691,5020717,5145974
부산,2013. 09,3531643,1749195,1782448
대구,2013. 09,2503679,1247251,1256428
인천,2013. 09,2870125,1444150,1425975
광주,2013. 09,1473229,730342,742887
대전,2013. 09,1531418,766838,764580
울산,2013. 09,1154382,594307,560075
세종,2013. 09,118273,60315,57958
경기,2013. 09,12203080,6145500,6057580
강원,2013. 09,1540796,775541,765255
충북,2013. 09,1570486,791745,778741
충남,2013. 09,2043056,1034918,1008138
전북,2013. 09,1871726,932457,939269
전남,2013. 09,1905374,951699,953675
경북,2013. 09,2696705,1354402,1342303
경남,2013. 09,3326527,1674641,1651886
제주,2013. 09,591341,296180,295161
전국,2013. 10,51115702,25577637,25538065
서울,2013. 10,10162099,5017958,5144141
부산,2013. 10,3530579,1748576,1782003
대구,2013. 10,2503648,1247204,1256444
인천,2013. 10,2873451,1445689,1427762
광주,2013. 10,1473576,730586,742990
대전,2013. 10,1532456,767235,765221
울산,2013. 10,1154956,594585,560371
세종,2013. 10,118745,60573,58172
경기,2013. 10,12211807,6149461,6062346
강원,2013. 10,1541457,775932,765525
충북,2013. 10,1571704,792304,779400
충남,2013. 10,2045203,1036052,1009151
전북,2013. 10,1871776,932338,939438
전남,2013. 10,1905627,951800,953827
경북,2013. 10,2697450,1354764,1342686
경남,2013. 10,3328969,1675958,1653011
제주,2013. 10,592199,296622,295577
전국,2013. 11,51127984,25582749,25545235
서울,2013. 11,10154180,5013816,5140364
부산,2013. 11,3529884,1748171,1781713
대구,2013. 11,2503283,1246930,1256353
인천,2013. 11,2876797,1447443,1429354
광주,2013. 11,1473689,730623,743066
대전,2013. 11,1533114,767527,765587
울산,2013. 11,1155867,595076,560791
세종,2013. 11,119309,60841,58468
경기,2013. 11,12219786,6152044,6067742
강원,2013. 11,1542069,776443,765626
충북,2013. 11,1572158,792480,779678
충남,2013. 11,2046550,1036832,1009718
전북,2013. 11,1872370,932629,939741
전남,2013. 11,1906495,952316,954179
경북,2013. 11,2698619,1355462,1343157
경남,2013. 11,3330810,1677018,1653792
제주,2013. 11,593004,297098,295906
전국,2013. 12,51141463,25588336,25553127
서울,2013. 12,10143645,5007869,5135776
부산,2013. 12,3527635,1747000,1780635
대구,2013. 12,2501588,1246071,1255517
인천,2013. 12,2879782,1448835,1430947
광주,2013. 12,1472910,730216,742694
대전,2013. 12,1532811,767309,765502
울산,2013. 12,1156480,595319,561161
세종,2013. 12,122153,62205,59948
경기,2013. 12,12234630,6159193,6075437
강원,2013. 12,1542263,776498,765765
충북,2013. 12,1572732,792862,779870
충남,2013. 12,2047631,1037421,1010210
전북,2013. 12,1872965,932894,940071
전남,2013. 12,1907172,952597,954575
경북,2013. 12,2699440,1355951,1343489
경남,2013. 12,3333820,1678592,1655228
제주,2013. 12,593806,297504,296302
전국,2014. 01,51156168,25594653,25561515
서울,2014. 01,10143164,5007016,5136148
부산,2014. 01,3526648,1746434,1780214
대구,2014. 01,2501823,1246104,1255719
인천,2014. 01,2882047,1449766,1432281
광주,2014. 01,1473529,730486,743043
대전,2014. 01,1533497,767665,765832
울산,2014. 01,1157199,595781,561418
세종,2014. 01,123802,63011,60791
경기,2014. 01,12245960,6164542,6081418
강원,2014. 01,1540745,775636,765109
충북,2014. 01,1572779,792848,779931
충남,2014. 01,2048438,1037965,1010473
전북,2014. 01,1872297,932564,939733
전남,2014. 01,1906363,952350,954013
경북,2014. 01,2698306,1355429,1342877
경남,2014. 01,3334948,1679136,1655812
제주,2014. 01,594623,297920,296703
전국,2014. 02,51171176,25601055,25570121
서울,2014. 02,10144173,5006461,5137712
부산,2014. 02,3527439,1746523,1780916
대구,2014. 02,2500778,1245343,1255435
인천,2014. 02,2884824,1450948,1433876
광주,2014. 02,1473327,730342,742985
대전,2014. 02,1534335,768055,766280
울산,2014. 02,1157627,596084,561543
세종,2014. 02,125944,64021,61923
경기,2014. 02,12256617,6169825,6086792
강원,2014. 02,1539343,774852,764491
충북,2014. 02,1572923,793018,779905
충남,2014. 02,2049750,1038876,1010874
전북,2014. 02,1871267,932045,939222
전남,2014. 02,1905198,951878,953320
경북,2014. 02,2697306,1355173,1342133
경남,2014. 02,3334412,1678953,1655459
제주,2014. 02,595913,298658,297255
전국,2014. 03,51185882,25607390,25578492
서울,2014. 03,10141727,5004714,5137013
부산,2014. 03,3525512,1745079,1780433
대구,2014. 03,2500874,1245256,1255618
인천,2014. 03,2886580,1451704,1434876
광주,2014. 03,1472490,729873,742617
대전,2014. 03,1534954,768343,766611
울산,2014. 03,1158245,596505,561740
세종,2014. 03,126857,64507,62350
경기,2014. 03,12266541,6175104,6091437
강원,2014. 03,1541051,775982,765069
충북,2014. 03,1572914,792988,779926
충남,2014. 03,2051940,1040224,1011716
전북,2014. 03,1871139,931828,939311
전남,2014. 03,1905860,952147,953713
경북,2014. 03,2697169,1354872,1342297
경남,2014. 03,3335088,1679110,1655978
제주,2014. 03,596941,299154,297787
전국,2014. 04,51202130,25614648,25587482
서울,2014. 04,10137313,5002036,5135277
부산,2014. 04,3523386,1743807,1779579
대구,2014. 04,2499880,1244520,1255360
인천,2014. 04,2889258,1453139,1436119
광주,2014. 04,1471850,729480,742370
대전,2014. 04,1535367,768425,766942
울산,2014. 04,1159234,596923,562311
세종,2014. 04,128200,65181,63019
경기,2014. 04,12276751,6180303,6096448
