날짜,구분,지역,수치
2018-02-01,미분양주택현황,전국,60903.0
2018-03-01,미분양주택현황,전국,58004.0
2018-04-01,미분양주택현황,전국,59583.0
2018-05-01,미분양주택현황,전국,59836.0
2018-06-01,미분양주택현황,전국,62050.0
2018-07-01,미분양주택현황,전국,63132.0
2018-08-01,미분양주택현황,전국,62370.0
2018-09-01,미분양주택현황,전국,60596.0
2018-10-01,미분양주택현황,전국,60502.0
2018-11-01,미분양주택현황,전국,60122.0
2018-12-01,미분양주택현황,전국,58838.0
2019-01-01,미분양주택현황,전국,59162.0
2019-02-01,미분양주택현황,전국,59614.0
2019-03-01,미분양주택현황,전국,62147.0
2019-04-01,미분양주택현황,전국,62041.0
2019-05-01,미분양주택현황,전국,62741.0
2019-06-01,미분양주택현황,전국,63705.0
2019-07-01,미분양주택현황,전국,62529.0
2019-08-01,미분양주택현황,전국,62385.0
2019-09-01,미분양주택현황,전국,60062.0
2019-10-01,미분양주택현황,전국,56098.0
2019-11-01,미분양주택현황,전국,53561.0
2019-12-01,미분양주택현황,전국,47797.0
2020-01-01,미분양주택현황,전국,43268.0
2020-02-01,미분양주택현황,전국,39456.0
2020-03-01,미분양주택현황,전국,38304.0
2020-04-01,미분양주택현황,전국,36629.0
2020-05-01,미분양주택현황,전국,33894.0
2020-06-01,미분양주택현황,전국,29262.0
2020-07-01,미분양주택현황,전국,28883.0
2020-08-01,미분양주택현황,전국,28831.0
2020-09-01,미분양주택현황,전국,28309.0
2020-10-01,미분양주택현황,전국,26703.0
2020-11-01,미분양주택현황,전국,23620.0
2020-12-01,미분양주택현황,전국,19005.0
2021-01-01,미분양주택현황,전국,17130.0
2021-02-01,미분양주택현황,전국,15786.0
2006-01-01,아파트실거래가격지수,전국,62.0
2006-02-01,아파트실거래가격지수,전국,62.7
2006-03-01,아파트실거래가격지수,전국,63.3
2006-04-01,아파트실거래가격지수,전국,63.8
2006-05-01,아파트실거래가격지수,전국,64.1
2006-06-01,아파트실거래가격지수,전국,64.7
2006-07-01,아파트실거래가격지수,전국,65.0
2006-08-01,아파트실거래가격지수,전국,66.0
2006-09-01,아파트실거래가격지수,전국,67.2
2006-10-01,아파트실거래가격지수,전국,69.7
2006-11-01,아파트실거래가격지수,전국,72.5
2006-12-01,아파트실거래가격지수,전국,73.1
2007-01-01,아파트실거래가격지수,전국,74.6
2007-02-01,아파트실거래가격지수,전국,74.6
2007-03-01,아파트실거래가격지수,전국,74.9
2007-04-01,아파트실거래가격지수,전국,74.6
2007-05-01,아파트실거래가격지수,전국,74.0
2007-06-01,아파트실거래가격지수,전국,74.6
2007-07-01,아파트실거래가격지수,전국,75.1
2007-08-01,아파트실거래가격지수,전국,75.6
2007-09-01,아파트실거래가격지수,전국,75.9
2007-10-01,아파트실거래가격지수,전국,76.2
2007-11-01,아파트실거래가격지수,전국,76.1
2007-12-01,아파트실거래가격지수,전국,76.1
2008-01-01,아파트실거래가격지수,전국,76.7
2008-02-01,아파트실거래가격지수,전국,77.2
2008-03-01,아파트실거래가격지수,전국,78.2
2008-04-01,아파트실거래가격지수,전국,79.2
2008-05-01,아파트실거래가격지수,전국,79.9
2008-06-01,아파트실거래가격지수,전국,80.4
2008-07-01,아파트실거래가격지수,전국,80.4
2008-08-01,아파트실거래가격지수,전국,80.4
2008-09-01,아파트실거래가격지수,전국,79.7
2008-10-01,아파트실거래가격지수,전국,77.8
2008-11-01,아파트실거래가격지수,전국,75.3
2008-12-01,아파트실거래가격지수,전국,72.6
2009-01-01,아파트실거래가격지수,전국,73.0
2009-02-01,아파트실거래가격지수,전국,74.2
2009-03-01,아파트실거래가격지수,전국,74.6
2009-04-01,아파트실거래가격지수,전국,75.7
2009-05-01,아파트실거래가격지수,전국,76.7
2009-06-01,아파트실거래가격지수,전국,77.5
2009-07-01,아파트실거래가격지수,전국,78.4
2009-08-01,아파트실거래가격지수,전국,79.5
2009-09-01,아파트실거래가격지수,전국,80.2
2009-10-01,아파트실거래가격지수,전국,80.0
2009-11-01,아파트실거래가격지수,전국,79.4
2009-12-01,아파트실거래가격지수,전국,79.0
2010-01-01,아파트실거래가격지수,전국,79.8
2010-02-01,아파트실거래가격지수,전국,79.7
2010-03-01,아파트실거래가격지수,전국,79.6
2010-04-01,아파트실거래가격지수,전국,78.8
2010-05-01,아파트실거래가격지수,전국,78.3
2010-06-01,아파트실거래가격지수,전국,77.9
2010-07-01,아파트실거래가격지수,전국,77.6
2010-08-01,아파트실거래가격지수,전국,77.5
2010-09-01,아파트실거래가격지수,전국,78.1
2010-10-01,아파트실거래가격지수,전국,78.6
2010-11-01,아파트실거래가격지수,전국,79.1
2010-12-01,아파트실거래가격지수,전국,79.9
2011-01-01,아파트실거래가격지수,전국,81.2
2011-02-01,아파트실거래가격지수,전국,82.5
2011-03-01,아파트실거래가격지수,전국,83.4
2011-04-01,아파트실거래가격지수,전국,83.9
2011-05-01,아파트실거래가격지수,전국,84.1
2011-06-01,아파트실거래가격지수,전국,84.3
2011-07-01,아파트실거래가격지수,전국,84.8
2011-08-01,아파트실거래가격지수,전국,85.3
2011-09-01,아파트실거래가격지수,전국,86.0
2011-10-01,아파트실거래가격지수,전국,85.9
2011-11-01,아파트실거래가격지수,전국,85.4
2011-12-01,아파트실거래가격지수,전국,84.7
2012-01-01,아파트실거래가격지수,전국,85.4
2012-02-01,아파트실거래가격지수,전국,85.5
2012-03-01,아파트실거래가격지수,전국,85.3
2012-04-01,아파트실거래가격지수,전국,84.9
2012-05-01,아파트실거래가격지수,전국,84.8
2012-06-01,아파트실거래가격지수,전국,84.4
2012-07-01,아파트실거래가격지수,전국,83.8
2012-08-01,아파트실거래가격지수,전국,83.7
2012-09-01,아파트실거래가격지수,전국,83.7
2012-10-01,아파트실거래가격지수,전국,83.7
2012-11-01,아파트실거래가격지수,전국,83.2
2012-12-01,아파트실거래가격지수,전국,82.3
2013-01-01,아파트실거래가격지수,전국,83.3
2013-02-01,아파트실거래가격지수,전국,83.4
2013-03-01,아파트실거래가격지수,전국,83.7
2013-04-01,아파트실거래가격지수,전국,84.0
2013-05-01,아파트실거래가격지수,전국,84.1
2013-06-01,아파트실거래가격지수,전국,83.8
2013-07-01,아파트실거래가격지수,전국,84.4
2013-08-01,아파트실거래가격지수,전국,84.8
2013-09-01,아파트실거래가격지수,전국,85.4
2013-10-01,아파트실거래가격지수,전국,85.8
2013-11-01,아파트실거래가격지수,전국,85.7
2013-12-01,아파트실거래가격지수,전국,85.5
2014-01-01,아파트실거래가격지수,전국,86.2
2014-02-01,아파트실거래가격지수,전국,86.7
2014-03-01,아파트실거래가격지수,전국,87.3
2014-04-01,아파트실거래가격지수,전국,87.2
2014-05-01,아파트실거래가격지수,전국,87.2
2014-06-01,아파트실거래가격지수,전국,87.4
2014-07-01,아파트실거래가격지수,전국,87.7
2014-08-01,아파트실거래가격지수,전국,88.4
2014-09-01,아파트실거래가격지수,전국,89.1
2014-10-01,아파트실거래가격지수,전국,89.7
2014-11-01,아파트실거래가격지수,전국,89.9
2014-12-01,아파트실거래가격지수,전국,90.1
2015-01-01,아파트실거래가격지수,전국,90.7
2015-02-01,아파트실거래가격지수,전국,91.3
2015-03-01,아파트실거래가격지수,전국,92.1
2015-04-01,아파트실거래가격지수,전국,92.8
2015-05-01,아파트실거래가격지수,전국,93.3
2015-06-01,아파트실거래가격지수,전국,93.8
2015-07-01,아파트실거래가격지수,전국,94.7
2015-08-01,아파트실거래가격지수,전국,95.4
2015-09-01,아파트실거래가격지수,전국,96.0
2015-10-01,아파트실거래가격지수,전국,96.4
2015-11-01,아파트실거래가격지수,전국,96.3
2015-12-01,아파트실거래가격지수,전국,95.7
2016-01-01,아파트실거래가격지수,전국,95.6
2016-02-01,아파트실거래가격지수,전국,95.8
2016-03-01,아파트실거래가격지수,전국,95.6
2016-04-01,아파트실거래가격지수,전국,95.6
2016-05-01,아파트실거래가격지수,전국,95.6
2016-06-01,아파트실거래가격지수,전국,95.9
2016-07-01,아파트실거래가격지수,전국,96.5
2016-08-01,아파트실거래가격지수,전국,97.0
2016-09-01,아파트실거래가격지수,전국,97.9
2016-10-01,아파트실거래가격지수,전국,98.5
2016-11-01,아파트실거래가격지수,전국,98.6
2016-12-01,아파트실거래가격지수,전국,98.2
2017-01-01,아파트실거래가격지수,전국,98.0
2017-02-01,아파트실거래가격지수,전국,98.3
2017-03-01,아파트실거래가격지수,전국,98.4
2017-04-01,아파트실거래가격지수,전국,98.3
2017-05-01,아파트실거래가격지수,전국,98.6
2017-06-01,아파트실거래가격지수,전국,99.2
2017-07-01,아파트실거래가격지수,전국,99.9
2017-08-01,아파트실거래가격지수,전국,100.1
2017-09-01,아파트실거래가격지수,전국,100.2
2017-10-01,아파트실거래가격지수,전국,100.3
2017-11-01,아파트실거래가격지수,전국,100.0
2017-12-01,아파트실거래가격지수,전국,99.7
2018-01-01,아파트실거래가격지수,전국,99.9
2018-02-01,아파트실거래가격지수,전국,100.4
2018-03-01,아파트실거래가격지수,전국,100.4
2018-04-01,아파트실거래가격지수,전국,100.5
2018-05-01,아파트실거래가격지수,전국,100.2
2018-06-01,아파트실거래가격지수,전국,100.1
2018-07-01,아파트실거래가격지수,전국,100.1
2018-08-01,아파트실거래가격지수,전국,101.2
2018-09-01,아파트실거래가격지수,전국,102.6
2018-10-01,아파트실거래가격지수,전국,102.9
2018-11-01,아파트실거래가격지수,전국,102.2
2018-12-01,아파트실거래가격지수,전국,101.5
2019-01-01,아파트실거래가격지수,전국,101.0
2019-02-01,아파트실거래가격지수,전국,100.6
2019-03-01,아파트실거래가격지수,전국,99.9
2019-04-01,아파트실거래가격지수,전국,99.6
2019-05-01,아파트실거래가격지수,전국,99.5
2019-06-01,아파트실거래가격지수,전국,99.8
2019-07-01,아파트실거래가격지수,전국,100.2
2019-08-01,아파트실거래가격지수,전국,100.5
2019-09-01,아파트실거래가격지수,전국,100.9
2019-10-01,아파트실거래가격지수,전국,101.4
2019-11-01,아파트실거래가격지수,전국,102.3
2019-12-01,아파트실거래가격지수,전국,103.3
2020-01-01,아파트실거래가격지수,전국,104.1
2020-02-01,아파트실거래가격지수,전국,105.5
2020-03-01,아파트실거래가격지수,전국,106.4
2020-04-01,아파트실거래가격지수,전국,106.4
2020-05-01,아파트실거래가격지수,전국,107.2
2020-06-01,아파트실거래가격지수,전국,109.3
2020-07-01,아파트실거래가격지수,전국,111.8
2020-08-01,아파트실거래가격지수,전국,113.2
2020-09-01,아파트실거래가격지수,전국,114.2
2020-10-01,아파트실거래가격지수,전국,115.8
2020-11-01,아파트실거래가격지수,전국,118.6
2020-12-01,아파트실거래가격지수,전국,121.8
2021-01-01,아파트실거래가격지수,전국,125.4
2007-01-01,주택건설인허가실적,전국,12038.0
2007-02-01,주택건설인허가실적,전국,29789.0
2007-03-01,주택건설인허가실적,전국,49827.0
2007-04-01,주택건설인허가실적,전국,69013.0
2007-05-01,주택건설인허가실적,전국,100210.0
2007-06-01,주택건설인허가실적,전국,130436.0
2007-07-01,주택건설인허가실적,전국,176284.0
2007-08-01,주택건설인허가실적,전국,224745.0
2007-09-01,주택건설인허가실적,전국,280490.0
2007-10-01,주택건설인허가실적,전국,384307.0
2007-11-01,주택건설인허가실적,전국,459792.0
2007-12-01,주택건설인허가실적,전국,555792.0
2008-01-01,주택건설인허가실적,전국,20876.0
2008-02-01,주택건설인허가실적,전국,34122.0
2008-03-01,주택건설인허가실적,전국,51438.0
2008-04-01,주택건설인허가실적,전국,85628.0
2008-05-01,주택건설인허가실적,전국,111627.0
2008-06-01,주택건설인허가실적,전국,132260.0
2008-07-01,주택건설인허가실적,전국,155065.0
2008-08-01,주택건설인허가실적,전국,177151.0
2008-09-01,주택건설인허가실적,전국,195885.0
2008-10-01,주택건설인허가실적,전국,217631.0
2008-11-01,주택건설인허가실적,전국,250034.0
2008-12-01,주택건설인허가실적,전국,371285.0
2009-01-01,주택건설인허가실적,전국,9363.0
2009-02-01,주택건설인허가실적,전국,19817.0
2009-03-01,주택건설인허가실적,전국,33944.0
2009-04-01,주택건설인허가실적,전국,50330.0
2009-05-01,주택건설인허가실적,전국,67180.0
2009-06-01,주택건설인허가실적,전국,98961.0
2009-07-01,주택건설인허가실적,전국,122026.0
2009-08-01,주택건설인허가실적,전국,145892.0
2009-09-01,주택건설인허가실적,전국,178093.0
2009-10-01,주택건설인허가실적,전국,202543.0
2009-11-01,주택건설인허가실적,전국,236282.0
2009-12-01,주택건설인허가실적,전국,381787.0
2010-01-01,주택건설인허가실적,전국,9282.0
2010-02-01,주택건설인허가실적,전국,24519.0
2010-03-01,주택건설인허가실적,전국,49548.0
2010-04-01,주택건설인허가실적,전국,70625.0
2010-05-01,주택건설인허가실적,전국,91999.0
2010-06-01,주택건설인허가실적,전국,110309.0
2010-07-01,주택건설인허가실적,전국,127121.0
2010-08-01,주택건설인허가실적,전국,142009.0
2010-09-01,주택건설인허가실적,전국,163294.0
2010-10-01,주택건설인허가실적,전국,190731.0
2010-11-01,주택건설인허가실적,전국,229039.0
2010-12-01,주택건설인허가실적,전국,386542.0
2011-01-01,주택건설인허가실적,전국,18500.0
2011-02-01,주택건설인허가실적,전국,37676.0
2011-03-01,주택건설인허가실적,전국,70529.0
2011-04-01,주택건설인허가실적,전국,111685.0
2011-05-01,주택건설인허가실적,전국,144401.0
2011-06-01,주택건설인허가실적,전국,176267.0
2011-07-01,주택건설인허가실적,전국,214145.0
2011-08-01,주택건설인허가실적,전국,255001.0
2011-09-01,주택건설인허가실적,전국,299252.0
2011-10-01,주택건설인허가실적,전국,359279.0
2011-11-01,주택건설인허가실적,전국,401508.0
2011-12-01,주택건설인허가실적,전국,549594.0
2012-01-01,주택건설인허가실적,전국,29411.0
2012-02-01,주택건설인허가실적,전국,61503.0
2012-03-01,주택건설인허가실적,전국,99670.0
2012-04-01,주택건설인허가실적,전국,141845.0
2012-05-01,주택건설인허가실적,전국,187931.0
2012-06-01,주택건설인허가실적,전국,238465.0
2012-07-01,주택건설인허가실적,전국,282147.0
2012-08-01,주택건설인허가실적,전국,321177.0
2012-09-01,주택건설인허가실적,전국,373393.0
2012-10-01,주택건설인허가실적,전국,410301.0
2012-11-01,주택건설인허가실적,전국,448146.0
2012-12-01,주택건설인허가실적,전국,586884.0
2013-01-01,주택건설인허가실적,전국,23952.0
2013-02-01,주택건설인허가실적,전국,45543.0
2013-03-01,주택건설인허가실적,전국,75594.0
2013-04-01,주택건설인허가실적,전국,106509.0
2013-05-01,주택건설인허가실적,전국,142055.0
2013-06-01,주택건설인허가실적,전국,180263.0
2013-07-01,주택건설인허가실적,전국,216518.0
2013-08-01,주택건설인허가실적,전국,248497.0
2013-09-01,주택건설인허가실적,전국,282366.0
2013-10-01,주택건설인허가실적,전국,315714.0
2013-11-01,주택건설인허가실적,전국,355971.0
2013-12-01,주택건설인허가실적,전국,440116.0
2014-01-01,주택건설인허가실적,전국,24602.0
2014-02-01,주택건설인허가실적,전국,54309.0
2014-03-01,주택건설인허가실적,전국,93278.0
2014-04-01,주택건설인허가실적,전국,135984.0
2014-05-01,주택건설인허가실적,전국,177536.0
2014-06-01,주택건설인허가실적,전국,219963.0
2014-07-01,주택건설인허가실적,전국,264535.0
2014-08-01,주택건설인허가실적,전국,313602.0
2014-09-01,주택건설인허가실적,전국,351328.0
2014-10-01,주택건설인허가실적,전국,396803.0
2014-11-01,주택건설인허가실적,전국,445984.0
2014-12-01,주택건설인허가실적,전국,515251.0
2015-01-01,주택건설인허가실적,전국,33271.0
2015-02-01,주택건설인허가실적,전국,66572.0
2015-03-01,주택건설인허가실적,전국,118772.0
2015-04-01,주택건설인허가실적,전국,170117.0
2015-05-01,주택건설인허가실적,전국,226978.0
2015-06-01,주택건설인허가실적,전국,300080.0
2015-07-01,주택건설인허가실적,전국,382916.0
2015-08-01,주택건설인허가실적,전국,452185.0
2015-09-01,주택건설인허가실적,전국,540140.0
2015-10-01,주택건설인허가실적,전국,604340.0
2015-11-01,주택건설인허가실적,전국,667163.0
2015-12-01,주택건설인허가실적,전국,765328.0
2016-01-01,주택건설인허가실적,전국,47536.0
2016-02-01,주택건설인허가실적,전국,101259.0
2016-03-01,주택건설인허가실적,전국,163009.0
2016-04-01,주택건설인허가실적,전국,222684.0
2016-05-01,주택건설인허가실적,전국,275397.0
2016-06-01,주택건설인허가실적,전국,355309.0
2016-07-01,주택건설인허가실적,전국,416696.0
2016-08-01,주택건설인허가실적,전국,471528.0
2016-09-01,주택건설인허가실적,전국,519552.0
2016-10-01,주택건설인허가실적,전국,571990.0
2016-11-01,주택건설인허가실적,전국,636823.0
2016-12-01,주택건설인허가실적,전국,726048.0
2017-01-01,주택건설인허가실적,전국,39898.0
2017-02-01,주택건설인허가실적,전국,89480.0
2017-03-01,주택건설인허가실적,전국,141100.0
2017-04-01,주택건설인허가실적,전국,184668.0
2017-05-01,주택건설인허가실적,전국,238179.0
2017-06-01,주택건설인허가실적,전국,297787.0
2017-07-01,주택건설인허가실적,전국,347967.0
2017-08-01,주택건설인허가실적,전국,396469.0
2017-09-01,주택건설인허가실적,전국,454957.0
2017-10-01,주택건설인허가실적,전국,502266.0
2017-11-01,주택건설인허가실적,전국,552558.0
2017-12-01,주택건설인허가실적,전국,653441.0
2018-01-01,주택건설인허가실적,전국,37696.0
2018-02-01,주택건설인허가실적,전국,81092.0
2018-03-01,주택건설인허가실적,전국,119571.0
2018-04-01,주택건설인허가실적,전국,166308.0
2018-05-01,주택건설인허가실적,전국,205227.0
2018-06-01,주택건설인허가실적,전국,249505.0
2018-07-01,주택건설인허가실적,전국,307800.0
2018-08-01,주택건설인허가실적,전국,346099.0
2018-09-01,주택건설인허가실적,전국,376367.0
2018-10-01,주택건설인허가실적,전국,412246.0
2018-11-01,주택건설인허가실적,전국,456105.0
2018-12-01,주택건설인허가실적,전국,554136.0
2019-01-01,주택건설인허가실적,전국,32023.0
2019-02-01,주택건설인허가실적,전국,74277.0
2019-03-01,주택건설인허가실적,전국,125140.0
2019-04-01,주택건설인허가실적,전국,160756.0
2019-05-01,주택건설인허가실적,전국,190154.0
2019-06-01,주택건설인허가실적,전국,226594.0
2019-07-01,주택건설인허가실적,전국,254168.0
2019-08-01,주택건설인허가실적,전국,282944.0
2019-09-01,주택건설인허가실적,전국,314215.0
2019-10-01,주택건설인허가실적,전국,353972.0
2019-11-01,주택건설인허가실적,전국,387340.0
2019-12-01,주택건설인허가실적,전국,487975.0
2020-01-01,주택건설인허가실적,전국,23978.0
2020-02-01,주택건설인허가실적,전국,61958.0
2020-03-01,주택건설인허가실적,전국,95606.0
2020-04-01,주택건설인허가실적,전국,127490.0
2020-05-01,주택건설인허가실적,전국,155769.0
2020-06-01,주택건설인허가실적,전국,188848.0
2020-07-01,주택건설인허가실적,전국,229026.0
2020-08-01,주택건설인허가실적,전국,257294.0
2020-09-01,주택건설인허가실적,전국,292980.0
2020-10-01,주택건설인허가실적,전국,326237.0
2020-11-01,주택건설인허가실적,전국,360711.0
2020-12-01,주택건설인허가실적,전국,457514.0
2021-01-01,주택건설인허가실적,전국,26183.0
2021-02-01,주택건설인허가실적,전국,59830.0
2005-01-01,지역별지가변동률,전국,0.226
2005-02-01,지역별지가변동률,전국,0.184
2005-03-01,지역별지가변동률,전국,0.348
2005-04-01,지역별지가변동률,전국,0.525
2005-05-01,지역별지가변동률,전국,0.562
2005-06-01,지역별지가변동률,전국,0.7979999999999999
2005-07-01,지역별지가변동률,전국,0.47700000000000004
2005-08-01,지역별지가변동률,전국,0.457
2005-09-01,지역별지가변동률,전국,0.193
2005-10-01,지역별지가변동률,전국,0.29100000000000004
2005-11-01,지역별지가변동률,전국,0.40399999999999997
2005-12-01,지역별지가변동률,전국,0.405
2006-01-01,지역별지가변동률,전국,0.355
2006-02-01,지역별지가변동률,전국,0.42
2006-03-01,지역별지가변동률,전국,0.529
2006-04-01,지역별지가변동률,전국,0.506
2006-05-01,지역별지가변동률,전국,0.483
2006-06-01,지역별지가변동률,전국,0.43799999999999994
2006-07-01,지역별지가변동률,전국,0.39899999999999997
2006-08-01,지역별지가변동률,전국,0.39799999999999996
2006-09-01,지역별지가변동률,전국,0.446
2006-10-01,지역별지가변동률,전국,0.49200000000000005
2006-11-01,지역별지가변동률,전국,0.517
2006-12-01,지역별지가변동률,전국,0.49200000000000005
2007-01-01,지역별지가변동률,전국,0.36
2007-02-01,지역별지가변동률,전국,0.318
2007-03-01,지역별지가변동률,전국,0.285
2007-04-01,지역별지가변동률,전국,0.261
2007-05-01,지역별지가변동률,전국,0.261
2007-06-01,지역별지가변동률,전국,0.273
2007-07-01,지역별지가변동률,전국,0.292
2007-08-01,지역별지가변동률,전국,0.298
2007-09-01,지역별지가변동률,전국,0.325
2007-10-01,지역별지가변동률,전국,0.36
2007-11-01,지역별지가변동률,전국,0.387
2007-12-01,지역별지가변동률,전국,0.4
2008-01-01,지역별지가변동률,전국,0.368
2008-02-01,지역별지가변동률,전국,0.39299999999999996
2008-03-01,지역별지가변동률,전국,0.465
2008-04-01,지역별지가변동률,전국,0.508
2008-05-01,지역별지가변동률,전국,0.48100000000000004
2008-06-01,지역별지가변동률,전국,0.473
2008-07-01,지역별지가변동률,전국,0.425
2008-08-01,지역별지가변동률,전국,0.426
2008-09-01,지역별지가변동률,전국,0.322
2008-10-01,지역별지가변동률,전국,0.04
2008-11-01,지역별지가변동률,전국,-1.44
2008-12-01,지역별지가변동률,전국,-2.725
2009-01-01,지역별지가변동률,전국,-0.7559999999999999
2009-02-01,지역별지가변동률,전국,-0.35200000000000004
2009-03-01,지역별지가변동률,전국,-0.09300000000000001
2009-04-01,지역별지가변동률,전국,0.066
